[0.000000] (-) TimerEvent: {}
[0.014541] (-) JobUnselected: {'identifier': 'navigation2'}
[0.014700] (-) JobUnselected: {'identifier': 'realsense'}
[0.014799] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.014885] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.014976] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.015054] (-) JobUnselected: {'identifier': 'sensing'}
[0.015132] (-) JobUnselected: {'identifier': 'teleop'}
[0.015208] (-) JobUnselected: {'identifier': 'vectornav'}
[0.015282] (-) JobUnselected: {'identifier': 'vectornav_msgs'}
[0.015835] (-) JobUnselected: {'identifier': 'visualization'}
[0.016473] (grid_map) JobQueued: {'identifier': 'grid_map', 'dependencies': OrderedDict([('grid_map_cmake_helpers', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_cmake_helpers'), ('nav2_common', '/root/Lunar_ROADSTER/lr_ws/install/nav2_common'), ('grid_map_core', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_core'), ('grid_map_msgs', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_msgs'), ('nav2_msgs', '/root/Lunar_ROADSTER/lr_ws/install/nav2_msgs'), ('nav2_voxel_grid', '/root/Lunar_ROADSTER/lr_ws/install/nav2_voxel_grid'), ('grid_map_cv', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_cv'), ('grid_map_octomap', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_octomap'), ('grid_map_sdf', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_sdf'), ('nav2_util', '/root/Lunar_ROADSTER/lr_ws/install/nav2_util'), ('grid_map_ros', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_ros'), ('nav2_lifecycle_manager', '/root/Lunar_ROADSTER/lr_ws/install/nav2_lifecycle_manager'), ('nav2_map_server', '/root/Lunar_ROADSTER/lr_ws/install/nav2_map_server'), ('grid_map_filters', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_filters'), ('grid_map_loader', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_loader'), ('grid_map_pcl', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_pcl'), ('grid_map_rviz_plugin', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_rviz_plugin'), ('grid_map_visualization', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_visualization'), ('nav2_costmap_2d', '/root/Lunar_ROADSTER/lr_ws/install/nav2_costmap_2d'), ('grid_map_costmap_2d', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_costmap_2d'), ('grid_map_demos', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_demos')])}
[0.017137] (grid_map) JobStarted: {'identifier': 'grid_map'}
[0.096756] (-) TimerEvent: {}
[0.198869] (-) TimerEvent: {}
[0.272236] (grid_map) JobEnded: {'identifier': 'grid_map', 'rc': 1}
[0.284459] (-) EventReactorShutdown: {}
