[0.000000] (-) TimerEvent: {}
[0.010955] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.011027] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.011207] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.011309] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.011418] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.011505] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.011578] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.011651] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.011722] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.011794] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.011864] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.011950] (-) JobUnselected: {'identifier': 'navigation2'}
[0.012029] (-) JobUnselected: {'identifier': 'realsense'}
[0.012294] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.012389] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.012467] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.012555] (-) JobUnselected: {'identifier': 'sensing'}
[0.012630] (-) JobUnselected: {'identifier': 'teleop'}
[0.012703] (-) JobUnselected: {'identifier': 'vectornav'}
[0.012796] (-) JobUnselected: {'identifier': 'vectornav_msgs'}
[0.012890] (-) JobUnselected: {'identifier': 'visualization'}
[0.012995] (grid_map) JobQueued: {'identifier': 'grid_map', 'dependencies': OrderedDict([('grid_map_cmake_helpers', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_cmake_helpers'), ('nav2_common', '/root/Lunar_ROADSTER/lr_ws/install/nav2_common'), ('grid_map_core', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_core'), ('grid_map_msgs', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_msgs'), ('nav2_msgs', '/root/Lunar_ROADSTER/lr_ws/install/nav2_msgs'), ('nav2_voxel_grid', '/root/Lunar_ROADSTER/lr_ws/install/nav2_voxel_grid'), ('grid_map_cv', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_cv'), ('grid_map_octomap', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_octomap'), ('grid_map_sdf', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_sdf'), ('nav2_util', '/root/Lunar_ROADSTER/lr_ws/install/nav2_util'), ('grid_map_ros', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_ros'), ('nav2_lifecycle_manager', '/root/Lunar_ROADSTER/lr_ws/install/nav2_lifecycle_manager'), ('nav2_map_server', '/root/Lunar_ROADSTER/lr_ws/install/nav2_map_server'), ('grid_map_filters', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_filters'), ('grid_map_loader', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_loader'), ('grid_map_pcl', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_pcl'), ('grid_map_rviz_plugin', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_rviz_plugin'), ('grid_map_visualization', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_visualization'), ('nav2_costmap_2d', '/root/Lunar_ROADSTER/lr_ws/install/nav2_costmap_2d'), ('grid_map_costmap_2d', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_costmap_2d'), ('grid_map_demos', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_demos')])}
[0.014087] (grid_map) JobStarted: {'identifier': 'grid_map'}
[0.096609] (-) TimerEvent: {}
[0.184977] (grid_map) JobEnded: {'identifier': 'grid_map', 'rc': 1}
[0.194570] (-) EventReactorShutdown: {}
