[0.000000] (-) TimerEvent: {}
[0.011253] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.011327] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.011401] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.011472] (-) JobUnselected: {'identifier': 'sensing'}
[0.011543] (-) JobUnselected: {'identifier': 'teleop'}
[0.011613] (-) JobUnselected: {'identifier': 'vectornav'}
[0.011698] (-) JobUnselected: {'identifier': 'vectornav_msgs'}
[0.011801] (visualization) JobQueued: {'identifier': 'visualization', 'dependencies': OrderedDict([('grid_map_cmake_helpers', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_cmake_helpers'), ('nav2_common', '/root/Lunar_ROADSTER/lr_ws/install/nav2_common'), ('grid_map_core', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_core'), ('grid_map_msgs', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_msgs'), ('nav2_msgs', '/root/Lunar_ROADSTER/lr_ws/install/nav2_msgs'), ('grid_map_cv', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_cv'), ('grid_map_ros', '/root/Lunar_ROADSTER/lr_ws/install/grid_map_ros')])}
[0.012022] (visualization) JobStarted: {'identifier': 'visualization'}
[0.099110] (-) TimerEvent: {}
[0.161057] (visualization) JobEnded: {'identifier': 'visualization', 'rc': 1}
[0.172738] (-) EventReactorShutdown: {}
